"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Josh A. Smith","Red Sox","0","1","0","1","1","3.1","8.10","5.40","2.70",".364","53.6 %","9.1 %","20.0 %","10.80","7.02","5.98","0.0","10946"
"Chris Archer","Pirates","1","5","0","8","8","40.2","8.85","5.31","1.77",".279","68.2 %","35.4 %","15.4 %","5.75","5.55","5.43","0.0","6345"
"Chris Stratton","Angels","0","2","0","5","5","23.0","6.65","5.48","1.57",".368","69.3 %","44.3 %","17.4 %","7.04","5.73","5.37","0.0","13761"
"Ryan Feierabend","Blue Jays","0","1","0","1","1","4.0","4.50","2.25","2.25",".375","60.6 %","52.9 %","16.7 %","9.00","6.12","5.73","0.0","6336"
"Thomas Pannone","Blue Jays","0","2","0","2","2","5.0","12.60","9.00","1.80",".529","29.4 %","35.3 %","16.7 %","19.80","5.92","5.61","0.0","17281"
"Clayton Richard","Blue Jays","0","1","0","2","2","8.0","5.63","6.75","1.13",".190","84.9 %","54.5 %","14.3 %","3.38","6.12","6.16","0.0","3551"
"Anthony DeSclafani","Reds","2","2","0","10","10","48.2","9.62","3.14","2.40",".270","79.5 %","33.8 %","20.0 %","4.99","5.63","4.70","0.0","13050"
"Cam Bedrosian","Angels","0","1","0","4","4","4.0","6.75","4.50","2.25",".182","83.3 %","58.3 %","33.3 %","4.50","6.37","4.55","0.0","13360"
"Touki Toussaint","Braves","0","0","0","1","1","1.1","13.50","6.75","0.00",".750","30.0 %","50.0 %","0.0 %","47.25","9.12","10.55","-0.1","16929"
"Tyson Ross","Tigers","1","5","0","7","7","35.1","6.37","4.58","1.78",".306","63.8 %","51.3 %","22.6 %","6.11","5.89","4.99","-0.1","7872"
"Drew Smyly","Rangers","1","2","0","7","7","29.0","9.93","6.21","2.17",".289","77.1 %","30.1 %","20.0 %","5.90","6.22","5.39","-0.1","11760"
"Yu Darvish","Cubs","2","3","0","11","11","55.0","10.96","6.22","1.80",".303","75.7 %","48.9 %","27.5 %","5.40","5.52","4.31","-0.1","13074"
"Kyle Dowdy","Rangers","0","0","0","1","1","3.0","6.00","9.00","3.00",".300","71.4 %","18.2 %","16.7 %","9.00","9.12","8.60","-0.1","19285"
"Yefry Ramirez","Orioles","0","1","0","1","1","3.1","8.10","10.80","2.70",".455","58.1 %","27.3 %","20.0 %","10.80","8.82","7.78","-0.1","15655"
"Aaron Brooks","Athletics","2","3","0","6","6","31.1","7.18","2.87","2.30",".264","68.2 %","40.8 %","19.5 %","5.74","5.80","4.98","-0.1","12272"
"Adrian Houser","Brewers","0","1","0","2","2","6.0","10.50","3.00","3.00",".500","80.4 %","60.0 %","66.7 %","7.50","6.62","3.24","-0.1","12718"
"Vince Velasquez","Phillies","1","2","0","6","6","29.1","9.20","4.60","2.15",".253","90.1 %","33.8 %","18.4 %","3.99","5.81","5.18","-0.1","11189"
"Jeremy Hellickson","Nationals","2","3","0","8","8","37.0","7.30","4.86","1.95",".313","66.9 %","39.3 %","17.0 %","6.08","6.01","5.62","-0.1","4371"
"Caleb Ferguson","Dodgers","0","1","0","1","1","2.2","6.75","6.75","3.38",".333","100.0 %","40.0 %","33.3 %","3.38","8.74","6.01","-0.1","19349"
"Taylor Hearn","Rangers","0","1","0","1","1","0.1","0.00","108.00","0.00",".750","28.6 %","50.0 %","0.0 %","108.00","39.12","44.84","-0.1","18325"
"Michael Wacha","Cardinals","3","2","0","9","9","46.2","8.29","5.59","1.74",".306","70.8 %","42.6 %","19.6 %","5.59","5.65","5.02","-0.1","14078"
"Sean Reid-Foley","Blue Jays","0","1","0","1","1","2.0","13.50","9.00","4.50",".429","35.7 %","37.5 %","33.3 %","13.50","11.12","7.48","-0.1","17034"
"Nick Vincent","Giants","0","1","0","1","1","1.0","0.00","0.00","9.00",".500","38.5 %","14.3 %","16.7 %","27.00","16.12","14.56","-0.1","7555"
"Felix Pena","Angels","0","1","0","4","4","17.1","7.27","3.63","2.08",".200","80.5 %","33.3 %","17.4 %","4.15","6.23","5.76","-0.1","13403"
"Kyle Freeland","Rockies","2","6","0","11","11","56.1","7.67","3.99","2.24",".276","62.9 %","41.2 %","20.0 %","6.71","6.08","5.22","-0.1","16256"
"Bryse Wilson","Braves","0","0","0","1","1","3.1","8.10","10.80","2.70",".444","65.8 %","30.0 %","33.3 %","10.80","8.82","6.64","-0.1","19990"
"Edinson Volquez","Rangers","0","0","0","2","2","7.2","7.04","9.39","2.35",".348","79.0 %","36.0 %","25.0 %","7.04","8.08","6.67","-0.1","3990"
"Gregory Soto","Tigers","0","2","0","4","4","13.2","7.24","4.61","2.63",".383","51.3 %","36.0 %","21.1 %","11.20","6.85","5.70","-0.1","19677"
"Jacob Barnes","Brewers","0","0","0","1","1","1.0","27.00","27.00","9.00","1.000","55.6 %","50.0 %","100.0 %","27.00","19.12","8.03","-0.1","12323"
"Chad Green","Yankees","0","0","0","3","3","3.2","9.82","2.45","4.91",".444","96.2 %","45.5 %","66.7 %","7.36","9.66","4.13","-0.1","15552"
"Kyle McGowin","Nationals","0","0","0","1","1","4.0","4.50","2.25","4.50",".267","47.6 %","52.9 %","33.3 %","11.25","9.37","5.73","-0.1","15071"
"Michael Feliz","Pirates","0","1","0","1","1","0.1","0.00","27.00","27.00",".750","0.0 %","0.0 %","50.0 %","135.00","51.12","23.56","-0.2","11903"
"Shelby Miller","Rangers","1","3","0","8","8","29.1","6.14","7.06","1.53",".337","56.1 %","38.7 %","12.2 %","9.51","6.53","6.98","-0.2","10197"
"Kohl Stewart","Twins","1","1","0","2","2","12.0","2.25","3.75","2.25",".268","74.3 %","55.8 %","27.3 %","6.00","7.12","5.62","-0.2","15502"
"Cody Anderson","Indians","0","1","0","2","2","3.2","9.82","14.73","2.45",".364","56.6 %","16.7 %","16.7 %","14.73","10.21","9.78","-0.2","12799"
"Ryan Carpenter","Tigers","0","2","0","3","3","14.0","7.71","2.57","3.21",".295","40.0 %","38.8 %","27.8 %","9.00","6.91","4.71","-0.2","12699"
"Marco Estrada","Athletics","0","2","0","5","5","23.2","4.18","3.04","2.66",".208","62.0 %","19.3 %","12.7 %","6.85","7.43","8.01","-0.2","1118"
"Dylan Covey","White Sox","0","3","0","5","5","25.0","4.68","5.76","1.80",".167","65.4 %","35.5 %","15.6 %","5.40","6.60","6.44","-0.2","14825"
"Tyler Beede","Giants","0","0","0","1","1","2.1","11.57","7.71","7.71",".500","16.1 %","50.0 %","66.7 %","27.00","14.26","5.57","-0.2","16981"
"Steven Brault","Pirates","0","0","0","2","2","7.2","8.22","5.87","3.52",".348","70.3 %","28.0 %","25.0 %","9.39","8.73","6.62","-0.2","15291"
"Wilmer Font","Mets","0","1","0","3","3","10.1","5.23","5.23","2.61",".281","65.2 %","32.4 %","15.0 %","7.84","7.47","7.39","-0.2","5257"
"Jorge Lopez","Royals","0","6","0","10","10","49.2","8.52","3.62","2.17",".333","64.5 %","38.5 %","23.1 %","7.07","5.88","4.73","-0.2","14527"
"Adam Plutko","Indians","1","1","0","2","2","11.1","5.56","1.59","3.97",".250","88.9 %","27.0 %","29.4 %","6.35","8.41","5.54","-0.2","15846"
"Heath Fillmyer","Royals","0","1","0","3","3","12.0","5.25","3.75","3.00",".326","56.7 %","40.4 %","23.5 %","10.50","8.04","6.40","-0.3","17466"
"Andrew Suarez","Giants","0","2","0","2","2","10.0","6.30","6.30","2.70",".313","50.6 %","34.3 %","27.3 %","9.00","7.72","5.92","-0.3","18300"
"Matt Harvey","Angels","2","4","0","10","10","48.0","6.56","3.94","2.06",".281","57.8 %","41.0 %","22.4 %","7.50","6.14","5.11","-0.3","11713"
"Nick Pivetta","Phillies","3","1","0","5","5","23.1","8.49","3.86","2.70",".370","69.1 %","42.3 %","26.9 %","7.71","6.68","4.90","-0.3","15454"
"Edwin Jackson","Blue Jays","0","2","0","3","3","14.0","5.14","1.93","3.21",".326","50.0 %","47.1 %","27.8 %","9.00","7.69","5.50","-0.3","1841"
"Nick Margevicius","Padres","2","5","0","9","9","45.1","6.55","2.98","2.18",".265","76.6 %","42.7 %","21.2 %","4.96","6.01","5.04","-0.3","20395"
"Nathan Eovaldi","Red Sox","0","0","0","4","4","21.0","6.86","4.71","2.57",".254","73.2 %","47.7 %","25.0 %","6.00","7.02","5.49","-0.3","9132"
"Erik Swanson","Mariners","1","5","0","6","6","29.1","6.14","0.92","3.38",".268","40.7 %","33.0 %","24.4 %","7.98","6.94","4.99","-0.3","16587"
"Mike Foltynewicz","Braves","1","3","0","6","6","33.1","6.48","2.16","2.70",".238","60.0 %","35.8 %","20.4 %","5.67","6.48","5.38","-0.3","10811"
"Corbin Martin","Astros","1","1","0","4","4","16.1","8.82","4.96","3.31",".289","81.6 %","45.1 %","31.6 %","5.51","7.59","5.03","-0.3","19884"
"Kyle Wright","Braves","0","2","0","3","3","14.0","7.07","6.43","2.57",".282","73.5 %","45.2 %","26.7 %","7.07","7.62","5.95","-0.3","19665"
"Drew Pomeranz","Giants","1","5","0","9","9","37.2","9.80","4.54","2.15",".352","74.0 %","40.2 %","23.1 %","6.45","5.80","4.67","-0.3","11426"
"Tyler Anderson","Rockies","0","3","0","5","5","20.2","10.02","4.79","3.48",".391","51.8 %","41.4 %","34.8 %","11.76","7.52","4.61","-0.3","12880"
"Wade LeBlanc","Mariners","2","2","0","5","5","23.1","6.94","3.09","3.09",".321","67.1 %","34.9 %","21.6 %","7.33","7.06","5.63","-0.4","5221"
"Dereck Rodriguez","Giants","3","5","0","8","8","41.0","6.15","3.73","1.98",".268","66.1 %","42.4 %","20.5 %","5.05","5.92","5.12","-0.4","14509"
"Manny Banuelos","White Sox","1","4","0","6","6","24.2","9.85","5.47","3.28",".406","66.0 %","30.7 %","31.0 %","9.49","7.50","5.00","-0.4","5365"
"Ervin Santana","White Sox","0","2","0","3","3","13.1","3.38","4.05","4.05",".277","66.3 %","32.1 %","20.0 %","9.45","9.57","8.01","-0.4","3200"
"Derek Holland","Giants","1","4","0","7","7","34.2","10.90","5.19","2.60",".288","70.7 %","39.3 %","27.0 %","6.75","6.35","4.63","-0.5","4141"
"David Hess","Orioles","1","6","0","10","10","49.0","7.71","3.12","3.31",".255","61.1 %","28.4 %","22.2 %","6.98","7.22","5.60","-0.5","16130"
"Trevor Cahill","Angels","2","5","0","11","11","53.1","7.26","3.04","2.70",".252","65.3 %","40.6 %","25.0 %","6.92","6.59","4.98","-0.6","6249"
"Alex Cobb","Orioles","0","2","0","3","3","12.1","5.84","1.46","6.57",".293","67.3 %","46.0 %","60.0 %","10.95","11.79","4.63","-0.6","6562"
"Dan Straily","Orioles","1","4","0","8","8","33.1","4.86","4.05","3.24",".307","69.3 %","29.4 %","19.4 %","8.10","8.16","7.03","-0.6","9460"
"Corbin Burnes","Brewers","0","2","0","4","4","17.2","12.23","4.08","5.60",".404","75.2 %","41.8 %","57.9 %","10.70","9.86","3.81","-0.7","19361"
