"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Felix Doubront","Blue Jays","1","1","0","4","4","20.1","5.31","2.21","0.44",".384","62.5 %","66.2 %","6.7 %","4.87","3.48","3.93","0.4","1478"
"Vance Worley","Pirates","2","4","0","8","8","43.0","5.65","3.14","0.63",".356","66.4 %","48.3 %","6.5 %","4.81","3.90","4.57","0.4","6435"
"Matt Andriese","Rays","2","2","0","8","8","35.1","5.86","2.29","1.02",".286","74.3 %","47.4 %","9.8 %","3.57","4.15","4.39","0.3","12022"
"Alex Colome","Rays","3","4","0","13","13","69.0","5.74","3.13","1.17",".296","72.6 %","40.7 %","11.7 %","4.70","4.64","4.59","0.3","6661"
"Matt Garza","Brewers","5","14","0","25","25","143.2","6.45","3.45","1.44",".324","64.7 %","44.9 %","14.7 %","5.83","4.97","4.49","0.3","3340"
"Kris Medlen","Royals","5","2","0","8","8","44.0","5.32","2.66","1.02",".289","64.8 %","51.0 %","10.4 %","4.50","4.45","4.58","0.3","9417"
"Mat Latos","Dodgers","0","2","0","5","5","23.1","6.17","2.31","0.77",".359","54.2 %","51.3 %","10.5 %","6.56","3.65","3.74","0.3","3815"
"Robbie Erlin","Padres","1","2","0","3","3","17.0","5.29","1.06","0.53",".294","56.8 %","47.1 %","7.1 %","4.76","3.25","3.70","0.3","10354"
"Tyler Wilson","Orioles","1","2","0","5","5","25.0","3.60","3.24","0.36",".298","69.4 %","52.9 %","4.0 %","4.32","4.05","5.01","0.3","12691"
"Keyvius Sampson","Reds","2","6","0","12","12","51.1","7.01","4.56","1.23",".343","60.1 %","38.8 %","10.1 %","6.66","4.87","5.08","0.3","10039"
"Tim Lincecum","Giants","7","4","0","15","15","76.1","7.07","4.48","0.83",".300","73.9 %","44.3 %","8.8 %","4.13","4.29","4.64","0.3","5705"
"Dillon Gee","Mets","0","3","0","7","7","38.0","5.92","2.37","0.95",".356","61.0 %","52.9 %","10.8 %","5.92","4.06","4.12","0.3","7396"
"Henderson Alvarez","Marlins","0","4","0","4","4","22.1","3.63","2.82","0.40",".318","50.6 %","57.3 %","6.3 %","6.45","3.85","4.33","0.3","5669"
"Matt Moore","Rays","3","4","0","12","12","63.0","6.57","3.29","1.29",".332","69.0 %","39.2 %","11.4 %","5.43","4.82","4.81","0.3","1890"
"Matt Wisler","Braves","8","8","0","19","19","107.0","5.89","3.28","1.35",".302","73.6 %","33.5 %","10.7 %","4.79","4.95","5.07","0.3","12804"
"Severino Gonzalez","Phillies","3","3","0","7","7","30.2","8.22","2.05","1.47",".394","58.3 %","35.9 %","12.8 %","7.92","4.50","4.26","0.3","14697"
"Shane Greene","Tigers","4","8","0","16","16","81.2","5.29","2.87","1.43",".322","59.8 %","43.8 %","14.1 %","6.72","5.20","4.80","0.3","10756"
"Christian Bergman","Rockies","0","1","0","4","4","15.2","4.60","2.87","0.57",".393","62.9 %","40.0 %","5.3 %","6.89","3.90","4.86","0.3","10925"
"Scott Copeland","Blue Jays","1","1","0","3","3","12.1","4.38","0.00","0.73",".420","53.4 %","43.1 %","11.1 %","8.03","3.22","3.24","0.3","10706"
"Ryan Weber","Braves","0","3","0","5","5","28.1","6.04","1.91","0.95",".278","62.5 %","64.2 %","20.0 %","4.76","4.02","3.42","0.3","10160"
"Joe Blanton","Royals","2","2","0","4","4","18.2","8.20","1.93","1.45",".327","67.3 %","49.1 %","15.0 %","5.30","4.04","3.54","0.2","4849"
"Jose Urena","Marlins","1","5","0","9","9","46.1","4.08","3.50","0.58",".321","68.8 %","48.4 %","6.4 %","4.86","4.43","5.08","0.2","11589"
"Chi Chi Gonzalez","Rangers","3","5","0","10","10","60.1","4.18","4.18","0.75",".221","69.0 %","49.2 %","8.9 %","4.03","4.82","5.12","0.2","14663"
"Wily Peralta","Brewers","5","10","0","20","20","108.2","4.97","3.06","1.16",".320","73.3 %","51.6 %","13.5 %","4.72","4.84","4.57","0.2","7738"
"Rafael Montero","Mets","0","0","0","1","1","5.2","9.53","1.59","0.00",".294","50.0 %","56.3 %","0.0 %","4.76","1.55","2.59","0.2","12760"
"Ian Thomas","Dodgers","1","0","0","1","1","5.0","9.00","0.00","0.00",".250","66.7 %","50.0 %","0.0 %","1.80","1.13","2.31","0.2","13881"
"Mike Montgomery","Mariners","4","6","0","16","16","90.0","6.40","3.70","1.10",".290","71.4 %","51.2 %","13.3 %","4.60","4.67","4.44","0.2","4869"
"Dan Haren","Cubs","4","2","0","11","11","58.1","6.79","2.01","1.54",".273","74.1 %","28.8 %","11.0 %","4.01","4.57","4.65","0.2","1757"
"Tyler Lyons","Cardinals","3","1","0","8","8","41.2","9.07","2.81","1.73",".308","79.1 %","38.5 %","19.0 %","4.10","4.55","3.54","0.2","11334"
"Randy Wolf","Tigers","0","5","0","7","7","33.2","7.22","3.74","1.34",".367","60.4 %","43.9 %","14.7 %","6.42","4.80","4.36","0.2","976"
"Jorge Lopez","Brewers","1","1","0","2","2","10.0","9.00","4.50","0.00",".467","70.0 %","56.7 %","0.0 %","5.40","2.93","3.82","0.2","14527"
"Josh Collmenter","Diamondbacks","3","6","0","12","12","68.2","4.33","1.31","1.70",".306","69.0 %","33.9 %","13.8 %","5.24","5.07","4.63","0.2","7312"
"Tsuyoshi Wada","Cubs","1","1","0","7","7","31.1","8.90","3.16","1.44",".289","82.4 %","43.0 %","17.2 %","3.73","4.38","3.67","0.2","13046"
"Travis Wood","Cubs","2","2","0","9","9","42.2","9.91","2.53","1.90",".296","69.1 %","30.1 %","16.1 %","5.06","4.59","3.78","0.2","9884"
"Brett Oberholtzer","Astros","2","2","0","8","8","38.1","6.34","3.99","0.94",".328","72.7 %","48.8 %","9.5 %","4.46","4.49","4.75","0.2","3855"
"Carlos Frias","Dodgers","4","5","0","13","13","71.1","5.05","2.90","0.88",".323","71.6 %","54.0 %","12.7 %","4.42","4.38","4.24","0.2","3547"
"Aaron Brooks","Athletics","3","4","0","9","9","48.1","6.33","2.42","1.49",".331","65.4 %","42.5 %","14.5 %","6.33","4.93","4.46","0.2","12272"
"Anthony Ranaudo","Rangers","0","1","0","2","2","8.1","6.48","4.32","0.00",".367","60.0 %","21.4 %","0.0 %","6.48","3.13","5.26","0.2","11424"
"Taylor Jordan","Nationals","0","1","0","1","1","6.0","6.00","1.50","0.00",".417","36.4 %","56.5 %","0.0 %","10.50","2.30","3.28","0.2","10466"
"Chad Billingsley","Phillies","2","3","0","7","7","37.0","3.65","1.95","1.22",".353","65.5 %","45.3 %","11.6 %","5.84","4.81","4.77","0.2","5842"
"Doug Fister","Nationals","4","7","0","15","15","86.0","5.02","1.88","1.26",".312","71.7 %","42.0 %","11.5 %","4.60","4.63","4.60","0.2","9425"
"Clayton Richard","Cubs","2","0","0","3","3","18.0","4.00","1.00","1.00",".246","80.3 %","58.7 %","20.0 %","3.00","4.02","3.40","0.2","3551"
"Williams Perez","Braves","7","6","0","20","20","113.1","5.64","3.73","0.95",".316","72.5 %","50.8 %","11.2 %","4.61","4.74","4.76","0.2","11592"
"Tony Zych","Mariners","0","0","0","1","1","2.2","13.50","0.00","0.00",".429","100.0 %","28.6 %","0.0 %","0.00","0.13","1.24","0.2","12876"
"Kendry Flores","Marlins","0","1","0","1","1","5.0","9.00","3.60","0.00",".412","44.4 %","11.8 %","0.0 %","9.00","2.33","4.70","0.1","12118"
"Odrisamer Despaigne","Padres","5","9","0","18","18","101.0","5.17","2.14","1.16",".290","64.3 %","49.4 %","13.8 %","5.44","4.58","4.28","0.1","16017"
"Justin Masterson","Red Sox","3","2","0","9","9","44.0","6.55","4.30","0.82",".343","65.9 %","51.7 %","9.8 %","6.14","4.70","4.90","0.1","2038"
"Steven Wright","Red Sox","3","4","0","9","9","52.1","6.88","2.92","1.55",".240","72.0 %","41.9 %","12.3 %","3.96","4.87","4.70","0.1","8185"
"Daniel Hudson","Diamondbacks","0","0","0","1","1","3.1","13.50","5.40","0.00",".286","100.0 %","66.7 %","0.0 %","0.00","1.93","1.93","0.1","7146"
"Chase Whitley","Yankees","1","2","0","4","4","19.1","7.45","2.33","1.40",".293","79.0 %","49.2 %","13.6 %","4.19","4.58","4.24","0.1","10982"
"Justin Nicolino","Marlins","5","4","0","12","12","74.0","2.80","2.43","0.97",".259","74.0 %","44.4 %","8.6 %","4.01","4.85","5.30","0.1","11754"
"Zack Godley","Diamondbacks","4","1","0","6","6","29.2","8.49","4.25","1.21",".264","87.2 %","47.3 %","14.8 %","3.03","4.72","4.31","0.1","14862"
"Steve Geltz","Rays","0","0","0","2","2","4.0","4.50","2.25","0.00",".167","66.7 %","58.3 %","0.0 %","2.25","2.88","4.36","0.1","8402"
"Logan Verrett","Mets","1","1","0","4","4","22.1","7.66","2.82","1.21",".228","76.9 %","40.4 %","13.0 %","3.63","4.39","4.16","0.1","12905"
"Gonzalez Germen","Rockies","0","0","0","1","1","3.0","3.00","3.00","0.00",".125","100.0 %","37.5 %","0.0 %","0.00","3.47","5.44","0.1","5876"
"Frankie Montas","White Sox","0","2","0","2","2","7.0","12.86","6.43","1.29",".389","51.7 %","31.6 %","11.1 %","9.00","4.28","4.32","0.1","14309"
"Dallas Beeler","Cubs","0","1","0","3","3","8.1","7.56","7.56","0.00",".438","47.6 %","66.7 %","0.0 %","9.72","3.97","5.21","0.1","11471"
"Bryan Mitchell","Yankees","0","1","0","2","2","5.2","11.12","3.18","1.59",".526","69.0 %","50.0 %","33.3 %","7.94","4.02","2.50","0.1","11479"
"Tim Hudson","Giants","8","9","0","22","22","121.1","4.60","2.74","0.96",".299","72.2 %","56.2 %","14.1 %","4.52","4.59","4.32","0.1","921"
"Daniel Norris","Blue Jays","1","1","0","5","5","23.1","6.94","4.63","1.16",".294","79.3 %","30.0 %","8.8 %","3.86","5.06","5.54","0.1","13475"
"Asher Wojciechowski","Astros","0","1","0","3","3","12.0","9.00","4.50","1.50",".442","57.9 %","18.2 %","8.7 %","9.75","4.80","5.46","0.1","10836"
"Juan Nicasio","Dodgers","0","0","0","1","1","2.0","4.50","0.00","0.00",".375","66.7 %","62.5 %","0.0 %","4.50","2.13","2.87","0.1","7731"
"Brad Peacock","Astros","0","1","0","1","1","5.0","5.40","3.60","0.00",".313","62.5 %","31.3 %","0.0 %","5.40","3.73","5.51","0.1","5401"
"Alex Wilson","Tigers","0","0","0","1","1","3.0","3.00","3.00","0.00",".000","100.0 %","57.1 %","0.0 %","0.00","3.47","4.94","0.1","9239"
"Sean Nolin","Athletics","1","2","0","6","6","29.0","4.66","3.72","1.24",".301","67.6 %","42.3 %","9.3 %","5.28","5.13","5.53","0.1","11341"
"Chris Beck","White Sox","0","1","0","1","1","6.0","4.50","6.00","0.00",".417","64.3 %","47.8 %","0.0 %","6.00","4.13","6.10","0.1","13418"
"A.J. Cole","Nationals","0","0","0","1","1","2.0","4.50","4.50","0.00",".600","10.0 %","42.9 %","0.0 %","18.00","3.63","5.85","0.1","11467"
"Donn Roach","Cubs","0","1","0","1","1","3.1","2.70","2.70","0.00",".500","55.6 %","68.8 %","0.0 %","10.80","3.43","4.32","0.1","10620"
"Randall Delgado","Diamondbacks","0","0","0","1","1","2.1","7.71","7.71","0.00",".545","50.0 %","10.0 %","0.0 %","15.43","3.99","6.52","0.0","5985"
"Roberto Hernandez","Astros","2","5","0","11","11","66.0","4.23","2.73","1.23",".297","60.7 %","52.4 %","13.6 %","5.18","4.92","4.63","0.0","3273"
"David Buchanan","Phillies","2","9","0","15","15","74.2","5.30","3.50","1.45",".369","65.2 %","47.4 %","15.8 %","6.99","5.33","4.74","0.0","11176"
"Dustin McGowan","Phillies","0","1","0","1","1","3.1","10.80","10.80","0.00",".333","42.9 %","33.3 %","0.0 %","10.80","4.33","5.66","0.0","8600"
"Dan Straily","Astros","0","1","0","3","3","15.1","8.22","4.70","1.17",".289","61.3 %","44.7 %","13.3 %","5.87","4.76","4.51","0.0","9460"
"Tony Cingrani","Reds","0","0","0","1","1","2.2","10.13","6.75","0.00",".545","44.4 %","36.4 %","0.0 %","16.88","4.26","6.47","0.0","12555"
"Casey Sadler","Pirates","1","0","0","1","1","5.0","9.00","1.80","1.80",".250","83.3 %","41.7 %","33.3 %","3.60","4.33","2.62","0.0","11209"
"Brian Johnson","Red Sox","0","1","0","1","1","4.1","6.23","8.31","0.00",".250","42.9 %","33.3 %","0.0 %","8.31","4.52","5.54","0.0","14272"
"Zach McAllister","Indians","0","1","0","1","1","4.0","11.25","2.25","2.25",".667","71.4 %","33.3 %","16.7 %","11.25","4.63","3.60","0.0","2895"
"Jhoulys Chacin","Diamondbacks","1","1","0","4","4","23.2","6.46","3.42","1.52",".250","86.1 %","48.6 %","16.7 %","3.04","5.04","4.33","0.0","2608"
"Archie Bradley","Diamondbacks","2","3","0","8","8","35.2","5.80","5.55","0.76",".297","66.3 %","58.0 %","9.7 %","5.80","4.96","5.15","0.0","12918"
"J.R. Graham","Twins","0","0","0","1","1","4.0","6.75","0.00","2.25",".417","100.0 %","33.3 %","33.3 %","2.25","4.88","2.74","0.0","12042"
"Craig Breslow","Red Sox","0","1","0","2","2","9.1","3.86","1.93","1.93",".179","100.0 %","36.7 %","13.3 %","1.93","5.71","5.29","0.0","4363"
"Chris Capuano","Yankees","0","3","0","4","4","13.1","8.10","6.08","1.35",".388","51.5 %","44.0 %","12.5 %","9.45","5.31","5.13","0.0","1701"
"Tyler Wagner","Brewers","0","2","0","3","3","13.2","3.29","4.61","0.66",".389","65.2 %","50.9 %","5.9 %","7.24","4.89","5.77","0.0","13796"
"Todd Redmond","Blue Jays","0","0","0","1","1","4.0","6.75","2.25","2.25",".250","55.6 %","23.1 %","11.1 %","6.75","5.63","5.70","0.0","9943"
"Kevin Correia","Phillies","0","3","0","5","5","23.1","5.40","3.09","1.54",".375","55.8 %","41.9 %","19.0 %","6.56","5.19","4.29","0.0","1767"
"Chris Narveson","Marlins","1","1","0","2","2","9.0","6.00","5.00","1.00",".300","58.8 %","33.3 %","9.1 %","7.00","4.91","5.27","0.0","2141"
"Jon Moscot","Reds","1","1","0","3","3","11.2","4.63","3.86","1.54",".243","75.8 %","41.0 %","11.8 %","4.63","5.62","5.54","0.0","13849"
"Erik Johnson","White Sox","3","1","0","6","6","35.0","7.71","4.37","2.06",".253","92.8 %","23.8 %","15.1 %","3.34","5.93","5.20","0.0","12520"
"Sean Gilmartin","Mets","0","1","0","1","1","5.0","5.40","1.80","1.80",".143","76.9 %","28.6 %","10.0 %","3.60","5.13","5.49","0.0","12781"
"Cory Rasmus","Angels","0","0","0","1","1","3.0","9.00","0.00","3.00",".250","62.5 %","55.6 %","25.0 %","6.00","5.47","3.10","0.0","2413"
"Zach Lee","Dodgers","0","1","0","1","1","4.2","5.79","1.93","1.93",".526","47.2 %","55.0 %","33.3 %","13.50","5.28","3.44","0.0","11468"
"Matt Barnes","Red Sox","0","2","0","2","2","10.1","7.84","3.48","1.74",".364","49.4 %","42.4 %","16.7 %","9.58","5.36","4.56","0.0","12863"
"Casey Kelly","Padres","0","2","0","2","2","9.1","3.86","2.89","0.96",".361","36.1 %","44.4 %","10.0 %","8.68","4.96","5.14","0.0","9174"
"Felix Doubront","Athletics","2","2","0","8","8","41.0","8.12","4.39","1.76",".319","65.1 %","32.5 %","16.0 %","6.37","5.33","4.59","0.0","1478"
"Mike Leake","Giants","2","5","0","9","9","55.1","4.72","2.44","1.30",".254","75.3 %","52.3 %","15.4 %","4.07","4.83","4.34","0.0","10130"
"Yusmeiro Petit","Giants","0","1","0","1","1","6.0","3.00","1.50","1.50",".273","65.8 %","45.5 %","12.5 %","6.00","5.63","5.44","-0.1","4020"
"Scott Kazmir","Astros","2","6","0","13","13","73.1","6.63","2.95","1.60",".288","73.5 %","39.1 %","13.3 %","4.17","5.19","4.86","-0.1","4897"
"Derek Holland","Rangers","4","3","0","10","10","58.2","6.29","2.61","1.69",".281","74.7 %","41.9 %","17.5 %","4.91","5.30","4.45","-0.1","4141"
"Brandon Beachy","Dodgers","0","1","0","2","2","8.0","5.63","6.75","1.13",".333","61.6 %","26.9 %","9.1 %","7.88","5.76","6.16","-0.1","8851"
"Yimi Garcia","Dodgers","0","0","0","1","1","2.0","9.00","0.00","4.50",".429","76.9 %","50.0 %","50.0 %","9.00","7.63","2.61","-0.1","12095"
"Yohan Pino","Royals","0","1","0","1","1","5.1","0.00","1.69","1.69",".435","56.6 %","41.7 %","12.5 %","10.13","6.13","5.91","-0.1","6955"
"Brad Hand","Marlins","4","6","0","12","12","57.0","6.00","3.47","1.26",".332","70.1 %","46.0 %","13.1 %","5.68","4.89","4.64","-0.1","9111"
"Trevor Cahill","Braves","0","3","0","3","3","12.1","3.65","5.11","0.73",".304","50.9 %","57.8 %","14.3 %","8.03","5.32","5.11","-0.1","6249"
"Bud Norris","Orioles","2","7","0","11","11","55.2","6.31","3.07","1.78",".330","59.3 %","42.6 %","16.9 %","6.79","5.49","4.64","-0.1","9492"
"Brad Mills","Athletics","0","0","0","1","1","5.0","1.80","1.80","1.80",".316","79.0 %","35.0 %","11.1 %","5.40","6.53","6.59","-0.1","4420"
"Jason Marquis","Reds","3","4","0","9","9","47.1","7.04","2.66","1.90",".351","64.6 %","46.3 %","20.0 %","6.46","5.27","4.08","-0.1","105"
"Drew Rucinski","Angels","0","1","0","1","1","2.2","0.00","13.50","0.00",".500","60.0 %","58.3 %","0.0 %","13.50","7.63","9.29","-0.1","12499"
"Aaron Sanchez","Blue Jays","5","4","0","11","11","66.0","5.73","5.05","1.09",".260","80.4 %","58.1 %","17.8 %","3.55","5.21","4.64","-0.1","11490"
"Brandon Finnegan","Reds","2","2","0","4","4","21.0","8.57","3.00","2.14",".281","81.0 %","46.7 %","21.7 %","4.71","5.32","3.85","-0.1","16208"
"Tyler Cravy","Brewers","0","6","0","7","7","32.0","6.47","4.78","1.41",".309","63.0 %","38.6 %","12.8 %","5.91","5.42","5.18","-0.1","10770"
"Kyle Lohse","Brewers","5","13","0","22","22","124.0","6.24","2.18","1.81",".318","65.6 %","37.3 %","15.5 %","6.31","5.19","4.49","-0.1","739"
"Matt Harrison","Rangers","1","2","0","3","3","16.0","2.81","3.38","1.69",".291","62.5 %","40.4 %","13.6 %","6.75","6.07","5.66","-0.1","5551"
"Samuel Deduno","Astros","0","1","0","2","2","8.2","8.31","5.19","2.08",".414","49.4 %","48.4 %","25.0 %","11.42","6.02","4.38","-0.1","5285"
"Marco Gonzales","Cardinals","0","0","0","1","1","2.2","3.38","3.38","3.38",".462","60.6 %","35.7 %","25.0 %","13.50","8.38","5.72","-0.1","15467"
"Mike Foltynewicz","Braves","4","6","0","15","15","84.0","7.82","3.00","1.82",".340","67.4 %","33.8 %","14.3 %","5.68","5.17","4.63","-0.1","10811"
"Tyler Matzek","Rockies","2","1","0","5","5","22.0","6.14","7.77","0.82",".302","82.1 %","39.7 %","8.3 %","4.09","5.95","6.38","-0.1","10058"
"Edgar Olmos","Mariners","0","0","0","2","2","6.1","2.84","8.53","1.42",".357","57.7 %","48.3 %","11.1 %","9.95","7.40","7.44","-0.1","10174"
"Ryan Vogelsong","Giants","8","10","0","22","22","116.0","6.98","3.88","1.24",".276","73.5 %","44.7 %","12.2 %","4.50","4.72","4.59","-0.1","1011"
"Frank Garces","Padres","0","1","0","1","1","2.0","9.00","9.00","4.50",".250","76.9 %","40.0 %","100.0 %","9.00","10.63","4.87","-0.1","13144"
"Joe Wieland","Dodgers","0","1","0","2","2","8.2","4.15","5.19","2.08",".276","57.4 %","38.7 %","20.0 %","8.31","6.94","5.64","-0.2","6109"
"Jerome Williams","Phillies","4","10","0","21","21","105.2","5.54","2.47","1.79",".338","68.2 %","47.8 %","19.1 %","6.13","5.42","4.38","-0.2","1137"
"Manny Banuelos","Braves","1","4","0","6","6","25.1","6.39","3.91","1.42",".321","70.3 %","40.0 %","12.9 %","5.33","5.42","5.18","-0.2","5365"
"Toru Murata","Indians","0","1","0","1","1","3.1","5.40","2.70","5.40",".182","0.0 %","38.5 %","25.0 %","8.10","10.63","6.38","-0.2","11652"
"Phil Klein","Rangers","1","0","0","2","2","7.1","7.36","3.68","3.68",".308","61.2 %","37.9 %","23.1 %","8.59","8.04","5.34","-0.2","12675"
"Shaun Marcum","Indians","3","2","0","6","6","30.0","7.80","2.40","2.40",".263","67.2 %","30.7 %","20.5 %","6.00","5.77","4.22","-0.2","6204"
"T.J. House","Indians","0","4","0","4","4","13.0","4.85","8.31","0.69",".392","47.6 %","59.6 %","20.0 %","13.15","6.29","5.86","-0.2","9121"
"Matthew Boyd","Tigers","1","4","0","10","10","50.0","6.48","3.42","2.16",".297","63.6 %","30.3 %","14.5 %","6.48","6.01","5.34","-0.2","15440"
"Josh A. Smith","Reds","0","4","0","7","7","30.1","8.01","6.23","1.19",".366","66.8 %","40.2 %","12.5 %","6.82","5.64","5.48","-0.2","10946"
"David Huff","Dodgers","0","0","0","1","1","4.0","4.50","2.25","4.50",".333","80.7 %","60.0 %","50.0 %","9.00","10.13","5.11","-0.2","4257"
"Homer Bailey","Reds","0","1","0","2","2","11.1","2.38","3.18","2.38",".317","82.3 %","52.4 %","23.1 %","5.56","7.10","5.36","-0.2","8362"
"Bruce Chen","Indians","0","1","0","2","2","6.1","5.68","1.42","4.26",".519","65.2 %","41.4 %","33.3 %","12.79","8.50","4.44","-0.2","769"
"Hector Noesi","White Sox","0","4","0","5","5","23.1","7.71","5.40","2.31",".234","72.5 %","42.9 %","19.4 %","6.17","6.69","5.31","-0.2","3292"
"Jarred Cosart","Marlins","2","5","0","13","13","65.2","6.03","4.11","1.37",".247","74.3 %","54.6 %","18.2 %","4.52","5.19","4.45","-0.3","10304"
"Tanner Roark","Nationals","3","4","0","12","12","65.1","4.96","1.93","1.65",".292","76.1 %","46.2 %","16.7 %","4.82","5.29","4.53","-0.3","8753"
"Ross Detwiler","Rangers","0","5","0","7","7","33.2","5.88","4.01","1.87",".353","65.2 %","35.8 %","14.6 %","6.95","6.05","5.45","-0.3","2859"
"Phillippe Aumont","Phillies","0","1","0","1","1","4.0","6.75","15.75","4.50",".273","65.2 %","53.8 %","66.7 %","13.50","13.38","7.99","-0.3","5362"
"Scott Baker","Dodgers","0","1","0","2","2","11.0","6.55","2.45","3.27",".233","83.3 %","38.2 %","25.0 %","5.73","7.23","4.64","-0.3","6176"
"Vidal Nuno","Mariners","1","4","0","10","10","51.1","7.36","2.28","2.10",".301","77.7 %","44.7 %","19.0 %","5.08","5.59","4.36","-0.3","9674"
"Mike Wright Jr.","Orioles","2","5","0","9","9","41.2","5.62","3.24","1.94",".284","68.0 %","36.6 %","14.8 %","6.48","6.13","5.49","-0.3","12586"
"Eric Stults","Braves","1","5","0","8","8","44.0","6.14","2.66","2.05",".280","63.0 %","36.7 %","16.7 %","6.34","5.61","4.67","-0.3","8011"
"Brandon McCarthy","Dodgers","3","0","0","4","4","23.0","11.35","1.57","3.52",".288","84.4 %","38.3 %","37.5 %","5.87","6.22","2.67","-0.3","4662"
"Eddie Butler","Rockies","3","10","0","16","16","79.1","4.99","4.76","1.47",".333","70.1 %","50.0 %","17.1 %","5.90","5.89","5.18","-0.3","13453"
"Buck Farmer","Tigers","0","3","0","5","5","24.0","5.25","3.38","2.63",".329","55.6 %","42.4 %","20.6 %","8.63","7.01","5.31","-0.3","14814"
"Cody Martin","Athletics","0","2","0","2","2","6.0","3.00","6.00","4.50",".360","46.9 %","42.9 %","42.9 %","16.50","11.47","6.69","-0.4","12182"
"Barry Zito","Athletics","0","0","0","2","2","6.0","3.00","7.50","4.50",".333","83.3 %","41.7 %","33.3 %","9.00","11.47","7.18","-0.4","944"
"Matthew Boyd","Blue Jays","0","2","0","2","2","6.2","9.45","1.35","6.75",".435","55.6 %","40.7 %","45.5 %","14.85","11.23","3.92","-0.4","15440"
"Matt Cain","Giants","2","4","0","11","11","57.2","6.09","2.81","1.72",".308","72.4 %","36.6 %","14.7 %","5.62","5.41","4.85","-0.4","4732"
"Kyle Ryan","Tigers","0","3","0","6","6","30.2","4.70","3.23","2.35",".233","76.4 %","47.9 %","26.7 %","5.28","6.56","4.61","-0.4","11753"
"Alec Asher","Phillies","0","6","0","7","7","29.0","4.97","3.10","2.48",".330","55.0 %","36.1 %","16.3 %","9.31","6.75","5.66","-0.4","13560"
"Michael Lorenzen","Reds","4","9","0","21","21","105.2","6.64","4.68","1.45",".323","73.7 %","41.1 %","15.7 %","5.45","5.48","4.90","-0.4","14843"
"Yohan Flande","Rockies","2","2","0","10","10","48.1","5.96","3.72","2.42",".279","82.8 %","57.1 %","31.0 %","5.21","6.61","4.40","-0.6","5057"
"Allen Webster","Diamondbacks","1","1","0","5","5","24.0","5.25","5.63","2.63",".239","66.2 %","46.8 %","24.1 %","6.00","7.76","5.75","-0.6","3993"
"Sean O'Sullivan","Phillies","1","6","0","13","13","71.0","4.44","2.54","2.03",".311","72.8 %","41.5 %","15.7 %","6.08","6.18","5.37","-0.7","9137"
"Jeremy Guthrie","Royals","8","8","0","24","24","131.1","4.66","2.67","1.71",".324","69.2 %","34.7 %","13.6 %","6.10","5.65","5.24","-0.7","2072"
"Kyle Kendrick","Rockies","7","13","0","27","27","142.1","5.06","2.85","2.09",".300","68.6 %","38.8 %","17.3 %","6.32","6.12","5.09","-0.8","6230"
"David Holmberg","Reds","1","4","0","6","6","28.1","4.76","5.08","3.18",".280","75.0 %","40.2 %","24.4 %","7.62","8.57","6.12","-0.9","7725"
