"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","playerid"
"Edgar Garcia","","0","0","5.46","0","0","0","1.0","1","1","0","1","0","1.51","6.98","3.95","5.52","0.0","0.0","sa282907"
"Davis Ward","Cardinals","0","0","5.47","0","1","0","1.0","1","1","0","1","1","1.63","6.53","4.93","5.52","0.0","0.0","sa829860"
"Jon Edwards","Indians","3","1","3.81","0","28","0","27.0","23","12","5","27","16","1.40","8.95","5.12","5.52","-0.4","0.3","1483"
"Drew Smyly","Rangers","6","10","5.42","25","26","0","130.0","130","79","27","125","65","1.50","8.62","4.52","5.52","0.2","0.5","11760"
"Tony Pena","","0","0","5.41","0","1","0","1.0","1","1","0","1","1","1.61","6.32","4.66","5.52","0.0","0.0","2240"
"Tanner Tully","Indians","0","0","5.34","0","0","0","1.0","1","1","0","1","0","1.42","5.11","2.38","5.52","0.0","0.0","sa873685"
"Zach Stewart","","0","0","5.60","0","0","0","1.0","1","1","0","1","0","1.51","6.63","3.52","5.52","0.0","0.0","7397"
"Thomas Melgarejo","","0","0","5.29","0","1","0","1.0","1","1","0","1","1","1.65","6.69","5.29","5.52","0.0","0.0","sa328570"
"Ariel Hernandez","Rangers","0","0","5.29","0","1","0","1.0","1","1","0","1","1","1.72","8.72","6.98","5.53","0.0","0.0","15603"
"Randy Dobnak","Twins","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.49","5.30","2.95","5.53","0.0","0.0","sa3005287"
"Trevor Clifton","Cubs","0","0","5.41","0","0","0","1.0","1","1","0","1","1","1.52","7.72","4.59","5.53","0.0","0.0","sa737901"
"Alex Vesia","Marlins","0","0","5.24","0","1","0","1.0","1","1","0","1","1","1.69","7.59","6.28","5.53","0.0","0.0","sa3008070"
"C.D. Pelham","Rangers","0","0","5.24","0","7","0","7.0","7","4","1","6","5","1.71","7.97","6.55","5.53","-0.1","0.0","19820"
"Evan Mitchell","Indians","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.59","5.75","4.10","5.53","0.0","0.0","sa708969"
"Nick Margevicius","Padres","4","7","4.83","14","14","0","75.0","78","40","16","56","24","1.36","6.77","2.85","5.53","-0.3","0.1","20395"
"Fernando Perez","Tigers","0","0","5.49","0","1","0","1.0","1","1","0","1","1","1.58","6.95","4.56","5.53","0.0","0.0","sa598187"
"Zach Nuding","","0","0","5.50","0","0","0","1.0","1","1","0","1","0","1.50","6.58","3.63","5.53","0.0","0.0","sa503167"
"Drake Britton","","0","0","5.32","0","1","0","1.0","1","1","0","1","0","1.56","6.64","4.46","5.53","0.0","0.0","2868"
"Corey Kimber","Padres","0","0","5.42","0","1","0","1.0","1","1","0","1","1","1.68","7.09","5.65","5.53","0.0","0.0","sa658609"
"Tommy Doyle","Rockies","0","0","5.63","0","1","0","1.0","1","1","0","1","1","1.70","7.03","5.42","5.53","0.0","0.0","sa829687"
"Wills Montgomerie","Dodgers","0","0","5.29","0","1","0","1.0","1","1","0","1","1","1.66","8.44","6.22","5.53","0.0","0.0","sa915861"
"Reynaldo Lopez","White Sox","8","13","5.51","30","30","0","175.0","181","107","37","159","77","1.47","8.19","3.94","5.53","0.4","-0.4","16400"
"Shawn Semple","Yankees","0","0","5.38","0","1","0","1.0","1","1","0","1","0","1.47","6.93","3.56","5.53","0.0","0.0","sa3004661"
"Ethan Elias","Diamondbacks","0","0","5.66","0","0","0","1.0","1","1","0","1","0","1.60","6.18","4.31","5.53","0.0","0.0","sa599224"
"Nick Struck","","0","0","5.40","0","1","0","1.0","1","1","0","1","1","1.67","6.44","5.27","5.54","0.0","0.0","sa503356"
"Josh Roberson","Marlins","0","0","5.47","0","0","0","1.0","1","1","0","1","1","1.65","5.77","4.85","5.54","0.0","0.0","sa3007721"
"Dace Kime","","0","0","5.39","0","1","0","1.0","1","1","0","1","1","1.65","7.71","5.68","5.54","0.0","0.0","sa548429"
"Noel Rodriguez","","0","0","5.41","0","1","0","1.0","1","1","0","1","1","1.67","6.56","5.31","5.54","0.0","0.0","sa875824"
"Jeremy Hellickson","Nationals","6","9","5.54","23","24","0","119.0","136","73","24","87","45","1.53","6.59","3.44","5.54","-0.1","-0.6","4371"
"Tanner Banks","White Sox","0","0","5.33","0","0","0","1.0","1","1","0","1","0","1.48","5.50","3.11","5.54","0.0","0.0","sa829193"
"Samil De Los Santos","","0","0","5.36","0","1","0","1.0","1","1","0","1","1","1.63","8.13","5.76","5.54","0.0","0.0","sa598569"
"Robert Broom","Indians","0","0","5.35","0","1","0","1.0","1","1","0","1","1","1.65","7.84","5.85","5.54","0.0","0.0","sa3007235"
"Gonzalez Germen","","0","0","5.69","0","1","0","1.0","1","1","0","1","1","1.62","7.60","4.77","5.54","0.0","0.0","5876"
"Phil Bickford","Brewers","0","0","5.43","0","1","0","1.0","1","1","0","1","1","1.60","8.51","5.43","5.54","0.0","0.0","sa737441"
"Jordan Guerrero","White Sox","0","0","5.33","0","0","0","1.0","1","1","0","1","0","1.54","6.75","4.31","5.54","0.0","0.0","sa658262"
"Eudis Idrogo","","0","0","5.38","0","0","0","1.0","1","1","0","1","0","1.56","5.42","3.78","5.54","0.0","0.0","sa656048"
"Bryan Sammons","Twins","0","0","5.34","0","0","0","1.0","1","1","0","1","0","1.54","6.78","4.29","5.54","0.0","0.0","sa3003932"
"Briam Campusano","Mets","0","0","5.40","0","1","0","1.0","1","1","0","1","1","1.60","6.87","4.93","5.54","0.0","0.0","sa917756"
"Lorenzo Barcelo","","0","0","5.57","0","0","0","1.0","1","1","0","1","0","1.49","5.26","2.81","5.54","0.0","0.0","1435"
"Brandyn Sittinger","Tigers","0","0","5.47","0","1","0","1.0","1","1","0","1","1","1.64","7.57","5.47","5.54","0.0","0.0","sa918367"
"Austin Adams","Tigers","1","1","6.27","0","15","0","16.0","16","11","4","19","9","1.56","10.62","4.84","5.54","-0.2","-0.3","7411"
"Patrick Johnson","","0","0","5.47","0","0","0","1.0","1","1","0","1","0","1.50","6.37","3.62","5.54","0.0","0.0","sa526880"
"McKenzie Mills","Marlins","0","0","5.28","0","0","0","1.0","1","1","0","1","0","1.49","6.61","4.04","5.54","0.0","0.0","sa829294"
"Brad Wilson","Blue Jays","0","0","5.51","0","1","0","1.0","1","1","0","1","1","1.65","7.28","5.36","5.54","0.0","0.0","sa3007247"
"Justus Sheffield","Mariners","2","3","5.14","8","9","0","51.0","51","29","8","42","32","1.62","7.51","5.62","5.55","-0.1","0.0","17285"
"Jose Disla","Rays","0","0","5.45","0","1","0","1.0","1","1","0","1","1","1.59","6.99","4.78","5.55","0.0","0.0","sa748874"
"Erick Julio","Rockies","0","0","5.66","0","1","0","1.0","1","1","0","1","0","1.59","6.78","4.26","5.55","0.0","0.0","sa828333"
"Tyler Carr","Phillies","0","0","5.41","0","1","0","1.0","1","1","0","1","1","1.68","6.82","5.42","5.55","0.0","0.0","sa3007491"
"Juan Pena","","0","0","5.46","0","1","0","1.0","1","1","0","1","1","1.65","6.41","5.10","5.55","0.0","0.0","sa828553"
"Manny Acosta","","0","0","5.42","0","1","0","1.0","1","1","0","1","1","1.64","6.63","5.13","5.55","0.0","0.0","8725"
"Kyle Dowdy","Rangers","4","4","5.78","4","40","0","64.0","70","41","10","51","37","1.66","7.08","5.14","5.55","-0.3","-0.6","19285"
"Peter Solomon","Astros","0","0","5.50","0","0","0","1.0","1","1","0","1","1","1.59","7.12","4.80","5.55","0.0","0.0","sa829274"
"Nelson Gonzalez","Rockies","0","0","5.72","0","1","0","1.0","1","1","0","1","1","1.61","7.28","4.59","5.55","0.0","0.0","sa506311"
"Drew Hutchison","Yankees","0","0","5.46","0","1","0","1.0","1","1","0","1","0","1.49","7.47","3.90","5.55","0.0","0.0","10732"
"Luis Martinez","White Sox","0","0","5.36","0","1","0","1.0","1","1","0","1","1","1.53","7.76","4.62","5.55","0.0","0.0","sa830305"
"Andrew Case","","0","0","5.54","0","1","0","1.0","1","1","0","1","0","1.51","6.18","3.43","5.55","0.0","0.0","sa829881"
"Ronald Bolanos","Padres","0","0","5.44","0","0","0","1.0","1","1","0","1","1","1.63","6.76","5.08","5.55","0.0","0.0","sa3002595"
"Darwin Ramos","Mets","0","0","5.35","0","1","0","1.0","1","1","0","1","1","1.68","6.89","5.77","5.55","0.0","0.0","sa737380"
"Will Carter","Yankees","0","0","5.32","0","1","0","1.0","1","1","0","1","1","1.61","5.78","4.50","5.55","0.0","0.0","sa829689"
"Reece Karalus","","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.57","7.07","4.55","5.55","0.0","0.0","sa873637"
"Bronson Arroyo","","0","0","5.59","0","0","0","1.0","1","1","0","1","0","1.45","5.76","2.42","5.55","0.0","0.0","978"
"Harley Holt","","0","0","5.52","0","1","0","1.0","1","1","0","1","0","1.62","5.83","4.49","5.55","0.0","0.0","sa878099"
"Mitchell Aker","","0","0","5.56","0","0","0","1.0","1","1","0","1","0","1.54","6.63","4.00","5.55","0.0","0.0","sa3002582"
"Tyler Schimpf","Giants","0","0","5.37","0","1","0","1.0","1","1","0","1","1","1.69","7.30","6.15","5.56","0.0","0.0","sa829573"
"Toru Murata","","0","0","5.58","0","0","0","1.0","1","1","0","1","0","1.49","5.74","3.01","5.56","0.0","0.0","11652"
"Jimmy Duff","Mets","0","0","5.42","0","1","0","1.0","1","1","0","1","1","1.68","6.71","5.50","5.56","0.0","0.0","sa829255"
"Jacob Brigham","Tigers","0","0","5.64","0","1","0","1.0","1","1","0","1","0","1.60","6.07","4.11","5.56","0.0","0.0","2851"
"Matt Milburn","Athletics","0","0","5.54","0","0","0","1.0","1","1","0","1","0","1.50","4.67","2.86","5.56","0.0","0.0","sa913084"
"Mauricio Lara","","0","0","5.39","0","0","0","1.0","1","1","0","1","0","1.59","4.75","3.79","5.56","0.0","0.0","sa198885"
"Trevor Stephan","Yankees","0","0","5.44","0","0","0","1.0","1","1","0","1","0","1.48","8.24","4.23","5.56","0.0","0.0","sa918441"
"Aaron Fletcher","Nationals","0","0","5.33","0","1","0","1.0","1","1","0","1","1","1.69","6.71","5.66","5.56","0.0","0.0","sa3007591"
"Luis Lugo","Cubs","0","0","5.37","0","0","0","1.0","1","1","0","1","0","1.54","6.66","4.28","5.56","0.0","0.0","sa597249"
"Brian Keller","Yankees","0","0","5.48","0","0","0","1.0","1","1","0","1","0","1.46","6.85","3.31","5.56","0.0","0.0","sa918951"
"Carlos Contreras","","0","0","5.53","0","1","0","1.0","1","1","0","1","0","1.58","6.77","4.47","5.56","0.0","0.0","10386"
"Erick Leal","Cubs","0","0","5.47","0","0","0","1.0","1","1","0","1","0","1.55","6.65","4.34","5.56","0.0","0.0","sa657825"
"Orleny Quiroz","","0","0","5.27","0","1","0","1.0","1","1","0","1","1","1.69","6.37","5.63","5.56","0.0","0.0","sa883009"
"Williams Ramirez","Twins","0","0","5.39","0","1","0","1.0","1","1","0","1","1","1.60","8.83","5.79","5.56","0.0","0.0","sa739056"
"Tim Cate","Nationals","0","0","5.41","0","0","0","1.0","1","1","0","1","1","1.64","5.98","4.81","5.57","0.0","0.0","sa3007926"
"Jose Montilla","Braves","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.69","5.78","5.06","5.57","0.0","0.0","sa3003102"
"William Ouellette","Blue Jays","0","0","5.59","0","1","0","1.0","1","1","0","1","0","1.50","6.84","3.52","5.57","0.0","0.0","sa921422"
"Chris Rodriguez","Angels","0","0","5.45","0","0","0","1.0","1","1","0","1","1","1.59","6.34","4.55","5.57","0.0","0.0","sa917980"
"Alec Kenilvort","Brewers","0","0","5.50","0","1","0","1.0","1","1","0","1","1","1.66","7.29","5.40","5.57","0.0","0.0","sa829194"
"Steven Ridings","Mariners","0","0","5.53","0","0","0","1.0","1","1","0","1","0","1.57","6.84","4.46","5.57","0.0","0.0","sa918658"
"Zach Logue","Blue Jays","0","0","5.52","0","0","0","1.0","1","1","0","1","0","1.47","5.94","2.95","5.57","0.0","0.0","sa915822"
"Matt Hardy","Brewers","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.60","7.53","5.01","5.57","0.0","0.0","sa3004120"
"Jojanse Torres","Astros","0","0","5.48","0","1","0","1.0","1","1","0","1","1","1.62","7.54","5.28","5.57","0.0","0.0","sa3006955"
"Bobby Poyner","Red Sox","0","0","6.53","0","9","0","8.0","9","6","1","6","5","1.85","7.20","5.47","5.57","-0.1","-0.1","17987"
"Deunte Heath","","0","0","5.45","0","1","0","1.0","1","1","0","1","1","1.63","7.60","5.49","5.57","0.0","0.0","7371"
"Ryan Carpenter","Tigers","3","6","5.98","13","13","0","68.0","76","45","15","54","22","1.45","7.20","2.93","5.57","-0.1","-0.5","12699"
"Nolan Becker","","0","0","5.37","0","1","0","1.0","1","1","0","1","1","1.63","6.45","5.09","5.57","0.0","0.0","sa658169"
