"","x"
"817",62
"818",73.2
"819",83
"820",122.2
"821",181
"822",44.2
"823",115.2
"824",22
"825",112.1
"826",99.2
"827",20
"828",86.2
"829",19.2
"830",20
"831",48
"832",27
"833",37.1
"834",17.2
"835",45.1
"836",80
"837",23.1
"838",29.2
"839",13
"840",9.1
"841",66.2
"842",78
"843",60.2
"844",4
"845",158
"846",154.1
"847",32
"848",72
"849",43
"850",8.1
"851",86.1
"852",14
"853",6.2
"854",22
"855",38.2
"856",31.1
"857",11.2
"858",18.1
"859",72
"860",27
"861",14
"862",69.1
"863",10
"864",11.1
"865",8
"866",5
"867",44.1
"868",77.2
"869",9.1
"870",47
"871",16.1
"872",26.1
"873",5
"874",29
"875",29.2
"876",13
"877",105.1
"878",4
"879",5
"880",7.1
"881",23.1
"882",4.1
"883",3.1
"884",35.1
"885",3.2
"886",18
"887",2
"888",2
"889",8.1
"890",100.2
"891",143.1
"892",7
"893",5
"894",40
"895",18.2
"896",5.1
"897",6
"898",154
"899",6
"900",14.2
"901",63
"902",11.1
"903",5
"904",41.1
"905",71
"906",32.2
"907",11.1
"908",25.2
"909",152.1
"910",46
"911",2.2
"912",23
"913",3.1
"914",0.1
"915",13.2
"916",8
"917",20.1
"918",8.2
"919",12.1
"920",8
"921",0.1
"922",4
"923",36
"924",129
"925",19.2
"926",14.2
"927",12.2
"928",11.1
"929",52.1
"930",3.1
"931",21.2
"932",2.2
"933",3.1
"934",2.1
"935",0.2
"936",7.2
"937",114.2
"938",14.1
"939",1.2
"940",5.1
"941",51.1
"942",51.1
"943",4
"944",15
"945",15.1
"946",18.2
"947",3
"948",3
"949",13.2
"950",22.1
"951",91.1
"952",3
"953",9.1
"954",11
"955",4.2
"956",117
"957",42.2
"958",51.2
"959",5.1
"960",64.1
"961",31
"962",22
"963",6.2
"964",3.1
"965",15.1
"966",2
"967",21
"968",3.2
"969",113.1
"970",34.1
"971",3.1
"972",16.2
"973",7.2
"974",20.2
"975",15
"976",60.1
"977",57
"978",28.2
"979",14
"980",11
"981",125
